Reporting starts,Campaign name,Ad set name,Ad name,Amount spent (USD),Impressions,Reach,Frequency,Link clicks,Results,Website purchases conversion value
2026-08-25,"Summer Skincare Promotion","Broad 25-44","Hero Video A",100.53,11392,6253,1.82,215,7,427.77
2026-08-25,"Summer Skincare Promotion","Broad 25-44","Carousel Ingredients",92.12,10256,4484,2.29,143,4,209.67
2026-08-25,"Summer Skincare Promotion","Lookalike 2%","UGC Testimonial",65.62,8154,4704,1.73,194,10,648.24
2026-08-25,"Retargeting - Cart Abandoners","ATC 7 day","Reminder Static",52.41,4172,965,4.32,140,11,711.38
2026-08-25,"Retargeting - Cart Abandoners","ATC 7 day","Discount Code 10",43.15,3268,787,4.15,101,11,699.78
2026-08-25,"Brand Awareness - Video Views","Interest: Wellness","Brand Film 30s",73.43,13095,8625,1.52,119,0,0.00
2026-08-25,"Brand Awareness - Video Views","Interest: Wellness","Brand Film 15s",38.10,7055,4957,1.42,68,0,0.00
2026-08-25,"Best Sellers - Prospecting","Lookalike 1% Purchasers","Bundle Offer",40.03,4538,3261,1.39,112,10,967.73
2026-08-26,"Summer Skincare Promotion","Broad 25-44","Hero Video A",129.19,15277,7956,1.92,309,17,1101.26
2026-08-26,"Summer Skincare Promotion","Broad 25-44","Carousel Ingredients",71.17,6621,3203,2.07,79,3,183.83
2026-08-26,"Summer Skincare Promotion","Lookalike 2%","UGC Testimonial",78.11,8903,5273,1.69,205,10,608.05
2026-08-26,"Retargeting - Cart Abandoners","ATC 7 day","Reminder Static",59.29,4279,914,4.68,146,12,891.97
2026-08-26,"Retargeting - Cart Abandoners","ATC 7 day","Discount Code 10",39.38,3123,793,3.94,95,7,512.43
2026-08-26,"Brand Awareness - Video Views","Interest: Wellness","Brand Film 30s",73.98,11864,8197,1.45,114,0,0.00
2026-08-26,"Brand Awareness - Video Views","Interest: Wellness","Brand Film 15s",40.53,6832,5063,1.35,82,0,0.00
2026-08-26,"Best Sellers - Prospecting","Lookalike 1% Purchasers","Bundle Offer",37.28,4400,2937,1.50,103,7,665.34
2026-08-27,"Summer Skincare Promotion","Broad 25-44","Hero Video A",123.03,14431,7362,1.96,239,13,862.37
2026-08-27,"Summer Skincare Promotion","Broad 25-44","Carousel Ingredients",96.17,8825,4524,1.95,129,6,340.22
2026-08-27,"Summer Skincare Promotion","Lookalike 2%","UGC Testimonial",82.48,9016,5826,1.55,207,9,558.62
2026-08-27,"Retargeting - Cart Abandoners","ATC 7 day","Reminder Static",59.94,4123,955,4.32,134,14,1065.68
2026-08-27,"Retargeting - Cart Abandoners","ATC 7 day","Discount Code 10",34.96,2871,710,4.04,70,6,430.86
2026-08-27,"Brand Awareness - Video Views","Interest: Wellness","Brand Film 30s",55.48,9942,6571,1.51,97,0,0.00
2026-08-27,"Brand Awareness - Video Views","Interest: Wellness","Brand Film 15s",47.45,8746,6429,1.36,84,0,0.00
2026-08-27,"Best Sellers - Prospecting","Lookalike 1% Purchasers","Bundle Offer",44.53,5653,3614,1.56,162,12,964.74
2026-08-28,"Summer Skincare Promotion","Broad 25-44","Hero Video A",115.43,10984,6153,1.79,185,9,522.87
2026-08-28,"Summer Skincare Promotion","Broad 25-44","Carousel Ingredients",70.50,6511,3286,1.98,94,4,247.52
2026-08-28,"Summer Skincare Promotion","Lookalike 2%","UGC Testimonial",76.37,9274,5915,1.57,208,10,624.25
2026-08-28,"Retargeting - Cart Abandoners","ATC 7 day","Reminder Static",60.51,3955,914,4.33,118,10,779.49
2026-08-28,"Retargeting - Cart Abandoners","ATC 7 day","Discount Code 10",40.75,2836,671,4.23,68,6,378.79
2026-08-28,"Brand Awareness - Video Views","Interest: Wellness","Brand Film 30s",75.01,11162,7957,1.40,87,0,0.00
2026-08-28,"Brand Awareness - Video Views","Interest: Wellness","Brand Film 15s",45.74,7462,5279,1.41,87,0,0.00
2026-08-28,"Best Sellers - Prospecting","Lookalike 1% Purchasers","Bundle Offer",39.60,5026,3512,1.43,131,11,1062.99
2026-08-29,"Summer Skincare Promotion","Broad 25-44","Hero Video A",122.88,13990,8081,1.73,258,12,707.64
2026-08-29,"Summer Skincare Promotion","Broad 25-44","Carousel Ingredients",72.00,7379,3475,2.12,98,3,180.16
