Campaign performance report
"Sep 1, 2026 - Sep 10, 2026"

Day,Campaign,Ad group,Cost,Impr.,Clicks,Conversions,Conv. value
2026-09-01,"Search - Brand","Exact Brand","57.46","873",117,22,"2045.45"
2026-09-01,"Search - Generic Skincare","Moisturiser","198.39","1,923",98,3,"221.97"
2026-09-01,"Performance Max - All Products","Asset Group 1","274.31","13,586",292,13,"1009.81"
2026-09-01,"Display - Remarketing","Site Visitors 30d","39.35","24,815",93,1,"69.74"
2026-09-02,"Search - Brand","Exact Brand","58.04","814",122,23,"2034.09"
2026-09-02,"Search - Generic Skincare","Moisturiser","204.58","2,338",107,3,"203.20"
2026-09-02,"Performance Max - All Products","Asset Group 1","267.32","13,327",306,16,"1311.20"
2026-09-02,"Display - Remarketing","Site Visitors 30d","45.56","28,899",126,1,"65.02"
2026-09-03,"Search - Brand","Exact Brand","58.66","889",134,34,"3297.28"
2026-09-03,"Search - Generic Skincare","Moisturiser","179.71","1,805",94,3,"232.01"
2026-09-03,"Performance Max - All Products","Asset Group 1","247.08","12,168",240,13,"1099.26"
2026-09-03,"Display - Remarketing","Site Visitors 30d","50.52","30,226",132,1,"66.84"
2026-09-04,"Search - Brand","Exact Brand","58.38","1,036",135,27,"2524.44"
2026-09-04,"Search - Generic Skincare","Moisturiser","193.00","2,243",97,3,"203.87"
2026-09-04,"Performance Max - All Products","Asset Group 1","235.00","11,926",247,12,"1060.99"
2026-09-04,"Display - Remarketing","Site Visitors 30d","39.30","25,157",102,1,"65.97"
2026-09-05,"Search - Brand","Exact Brand","60.48","954",136,26,"2523.65"
2026-09-05,"Search - Generic Skincare","Moisturiser","163.33","1,834",84,3,"204.60"
2026-09-05,"Performance Max - All Products","Asset Group 1","212.26","11,788",242,11,"880.13"
2026-09-05,"Display - Remarketing","Site Visitors 30d","43.81","31,783",117,1,"67.24"
2026-09-06,"Search - Brand","Exact Brand","62.71","874",125,21,"1953.65"
2026-09-06,"Search - Generic Skincare","Moisturiser","174.04","1,360",61,2,"151.58"
2026-09-06,"Performance Max - All Products","Asset Group 1","235.43","14,273",273,13,"1160.52"
2026-09-06,"Display - Remarketing","Site Visitors 30d","40.61","27,488",116,1,"64.27"
2026-09-07,"Search - Brand","Exact Brand","56.59","842",113,26,"2489.29"
2026-09-07,"Search - Generic Skincare","Moisturiser","182.65","1,577",70,2,"141.08"
2026-09-07,"Performance Max - All Products","Asset Group 1","272.36","15,577",323,14,"1185.56"
2026-09-07,"Display - Remarketing","Site Visitors 30d","42.34","26,972",104,1,"65.19"
2026-09-08,"Search - Brand","Exact Brand","64.68","1,064",157,32,"3017.93"
2026-09-08,"Search - Generic Skincare","Moisturiser","171.89","1,308",63,2,"139.43"
2026-09-08,"Performance Max - All Products","Asset Group 1","214.54","12,594",258,11,"995.81"
2026-09-08,"Display - Remarketing","Site Visitors 30d","40.01","22,779",94,1,"70.09"
2026-09-09,"Search - Brand","Exact Brand","68.33","914",139,27,"2367.72"
2026-09-09,"Search - Generic Skincare","Moisturiser","164.83","1,308",58,2,"147.92"
2026-09-09,"Performance Max - All Products","Asset Group 1","258.08","13,608",283,11,"857.37"
2026-09-09,"Display - Remarketing","Site Visitors 30d","44.21","29,426",114,1,"68.39"
2026-09-10,"Search - Brand","Exact Brand","54.14","851",127,23,"2350.57"
2026-09-10,"Search - Generic Skincare","Moisturiser","201.12","1,683",85,3,"220.23"
2026-09-10,"Performance Max - All Products","Asset Group 1","261.22","11,233",254,11,"852.35"
2026-09-10,"Display - Remarketing","Site Visitors 30d","46.32","32,342",118,1,"66.69"
"Total: all campaigns",,,,,,,
